SN,MID_WID,SAP_New_Code,Nodal
1524,1183099,9200001952,9200001952
1525,1183061,9200001954,9200001954
1526,1183143,9200001955,9200001955
1527,1183115,9200001956,9200001956
1528,1183111,9200001957,9200001957
1529,1183168,9200001958,9200001958
1530,1183119,9200001959,9200001959
1531,1183156,9200001960,9200001960
1532,1183140,9200001961,9200001961
1533,1183191,9200001962,9200001962
1534,1183158,9200001963,9200001963
1535,1183169,9200001964,9200001964
1536,1183176,9200001965,9200001965
1537,1183236,9200001966,9200001966
1538,1181400,9200001967,9200001967
1539,1182523,9200001968,9200001968
1540,1182875,9200001969,9200001969
1541,1180402,9200001970,9200001970
1542,1182796,9200001971,9200001971
1543,1182938,9200001972,9200001972
1544,1182645,9200001973,9200001973
1545,1182751,9200001974,9200001974
1546,1181549,9200001975,9200001975
1547,1182306,9200001976,9200001976
1548,1182749,9200001977,9200001977
1549,1182368,9200001978,9200001978
1550,1182384,9200001979,9200001979
1551,1182511,9200001980,9200001980
1552,1182902,9200001981,9200001981
1553,1182777,9200001982,9200001982
1554,1182596,9200001983,9200001983
1555,1182634,9200001984,9200001984
1556,1182621,9200001985,#REF!
1557,1182642,9200001986,9200001986
1558,1182654,9200001987,9200001987
1559,1182660,9200001988,9200001988
1560,1182805,9200001989,9200001989
1561,1182754,9200001990,9200001990
1562,1182903,9200001991,9200001991
1563,1182912,9200001992,9200001992
1564,1182977,9200001993,#REF!
1565,1183001,9200001994,9200001994
1566,1183094,9200001995,9200001995
1567,1183182,9200001996,9200001996
1568,1183212,9200001997,9200001997
1569,1183230,9200001998,9200001998
1570,1182422,9200001999,9200001999
1571,1182701,9200002000,9200002000
1572,1182637,9200002001,9200002001
1573,1182656,9200002002,PFC
1574,1182661,9200002003,9200002003
1575,1182712,9200002004,9200002004
1576,1182756,9200002005,9200002005
1577,1182811,9200002006,9200002006
1578,1182799,9200002007,9200002007
1579,1183198,9200002009,9200002009
1580,1180126,9200002010,9200002010
1581,1183455,9200002011,9200002011
1582,1183473,9200002012,9200002012
1583,1183025,9200002013,9200002013
1584,1183027,9200002014,9200002014
1585,1183312,9200002024,9200002024
1586,1183044,9200002025,9200002025
1587,1183108,9200002026,9200002026
1588,1183117,9200002027,9200002027
1589,1183127,9200002028,9200002028
1590,1183138,9200002029,9200002029
1591,1183150,9200002030,9200002030
1592,1183159,9200002031,9200002031
1593,1183323,9200002032,9200002032
1594,1183215,9200002033,9200002033
1595,1183314,9200002034,9200002034
1596,1183315,9200002035,9200002035
1597,1183055,9200002036,9200002036
1598,1181722,9200002037,9200002037
1599,831206,9200002038,9200002038
1600,1182566,9200002040,9200002040
1601,1183211,9200002041,9200002041
1602,1183438,9200002042,9200002042
1603,1183437,9200002043,9200002043
1604,1182804,9200002045,9200002045
1605,1182845,9200002046,9200002046
1606,1183045,9200002047,9200002047
1607,1183072,9200002048,9200002048
1608,1183124,9200002049,9200002049
1609,1183170,9200002050,9200002050
1610,1183187,9200002051,9200002051
1611,1183200,9200002052,9200002052
1612,1183333,9200002053,9200002053
1613,1179117,9200002054,9200002054
1614,1183253,9200002055,9200002055
1615,1183096,9200002056,9200002056
1616,1182758,9200002058,9200002058
1617,1183105,9200002061,9200002061
1618,1183199,9200002062,9200002062
1619,1183207,9200002063,9200002063
1620,1183285,9200002064,9200002064
1621,1183297,9200002065,9200002065
1622,1178786,9200002066,9200002066
1623,1183427,9200002067,9200002067
1624,1183089,9200002068,9200002068
1625,1183154,9200002069,9200002069
1626,1183287,9200002070,9200002070
1627,1183458,9200002071,9200002071
1628,1183491,9200002072,9200002072
1629,1183530,9200002073,9200002073
1630,1183322,9200002074,9200002074
1631,1183467,9200002075,9200002075
1632,1183497,9200002076,9200002076
1633,1183462,9200002077,9200002077
1634,1183086,9200002078,9200002078
1635,1182822,9200002079,9200002079
1636,1182872,9200002080,9200002080
1637,1182909,9200002081,9200002081
1638,1183775,9200002082,9200002082
1639,1183057,9200002083,9200002083
1640,1183231,9200002084,#REF!
1641,1181612,9200002085,9200002085
1642,1183550,9200002086,9200002086
1643,1182948,9200002087,9200002087
1644,1183000,9200002088,9200002088
1645,1183007,9200002089,9200002089
1646,1183026,9200002090,9200002090
1647,1183518,9200002091,9200002091
1648,1183519,9200002092,9200002092
1649,1183524,9200002094,9200002094
1650,1183541,9200002095,9200002095
1651,1183537,9200002096,9200002096
1652,1183581,9200002097,9200002097
1653,1183460,9200002098,9200002098
1654,1182648,9200010619,#REF!
1655,1183313,9200002100,9200002100
1656,1183428,9200002101,9200002101
1657,1183552,9200002103,9200002103
1658,1183557,9200002104,9200002104
1659,1183189,9200002105,9200002105
1660,1183496,9200002106,9200002106
1661,1183558,9200002107,9200002107
1662,1183565,9200002108,9200002108
1663,1183634,9200002109,9200002109
1664,1183637,9200002110,9200002110
1665,1183642,9200002111,9200002111
1666,1183494,9200002112,9200002112
1667,1183429,9200002113,9200002113
1668,1183539,9200002114,9200002114
1669,1181821,9200002115,9200002115
1670,1183148,9200002116,9200002116
1671,1183528,9200002117,9200002117
1672,1183596,9200002118,9200002118
1673,1183632,9200002119,9200002119
1674,1183636,9200002120,9200002120
1675,1183638,9200002121,9200002121
1676,1183684,9200002122,9200002122
1677,1183671,9200002123,9200002123
1678,1183777,9200002124,9200002124
1679,1183560,9200002125,9200002125
1680,1183649,9200002126,9200002126
1681,1183728,9200002127,9200002127
1682,1183422,9200002128,9200002128
1683,1183771,9200002129,9200002129
1684,1183898,9200002130,9200002130
1685,1183899,9200002131,9200002131
1686,1183734,9200002132,9200002132
1687,1183870,9200002133,9200002133
1688,1183907,9200002134,9200002134
1689,1183516,9200002135,9200002135
1690,1183435,9200002136,9200002136
1691,1183780,9200002137,9200002137
1692,1183672,9200002138,9200002138
1693,1183677,9200002139,9200002139
1694,1183689,9200002140,PFC
1695,1183759,9200002141,9200002141
1696,1183738,9200002142,9200002142
1697,1183762,9200002143,9200002143
1698,1183779,9200002144,9200002144
1699,1183837,9200002145,9200002145
1700,1182612,9200002146,9200002146
1701,1183781,9200002147,9200002147
1702,1183374,9200002148,9200002148
1703,1183377,9200002149,9200002149
1704,1183468,9200002150,9200002150
1705,1182367,9200002151,9200002151
1706,1181826,9200002152,9200002152
1707,1182819,9200002153,9200002153
1708,1183883,9200002154,9200002154
1709,1183740,9200002155,9200002155
1710,1182459,9200002156,9200002156
1711,1183860,9200002157,9200002157
1712,1183181,9200002158,9200002158
1713,1183651,9200002159,9200002159
1714,1183766,9200002160,9200002160
1715,1183868,9200002168,9200002168
1716,1182833,9200002169,9200002169
1717,1183872,9200002170,9200002170
1718,1183083,9200002171,9200002171
1719,1183093,9200002172,9200002172
1720,1183202,9200002173,9200002173
1721,1183587,9200002174,9200002174
1722,1183668,9200002175,9200002175
1723,1183674,9200002176,9200002176
1724,1183670,9200002177,9200002177
1725,1183687,9200002178,9200002178
1726,1183893,9200002179,9200002179
1727,1183861,9200002180,9200002180
1728,1183867,9200002181,9200002181
1729,1183897,9200002182,9200002182
1730,1183905,9200002183,9200002183
1731,1178240,9200002184,9200002184
1732,1183882,9200002185,9200002185
1733,1183985,9200002186,9200002186
1734,1183704,9200002187,9200002187
1735,1183989,9200002188,9200002188
1736,1183549,9200002189,9200002189
1737,1183585,9200002190,9200002190
1738,1183895,9200002192,9200002192
1739,1183933,9200002194,9200002194
1740,1183833,9200002195,9200002195
1741,1183910,9200002196,9200002196
1742,1183934,9200002197,9200002197
1743,1183937,9200002198,9200002198
1744,1183859,9200002199,9200002199
1745,1183896,9200002200,9200002200
1746,1183940,9200002201,9200002201
1747,1183431,9200002202,9200002202
1748,1183654,9200002203,9200002203
1749,1183645,9200002204,9200002204
1750,1183958,9200002205,9200002205
1751,1183949,9200002206,9200002206
1752,1183944,9200002207,9200002207
1753,1183950,9200002208,9200002208
1754,1183994,9200002209,9200002209
1755,1183922,9200002210,9200002210
1756,1183982,9200002211,9200002211
1757,1183995,9200002212,9200002212
1758,1179391,9200002218,9200002218
1759,1183232,9200002219,9200002219
1760,1184009,9200002220,PFC
1761,1183865,9200002221,9200002221
1762,1184038,9200002222,9200002222
1763,1184139,9200002223,9200002223
1764,1184113,9200002224,9200002224
1765,1183647,9200002225,9200002225
1766,1183648,9200002226,9200002226
1767,1183705,9200002227,9200002227
1768,1183764,9200002228,9200002228
1769,1183788,9200002230,9200002230
1770,1183919,9200002231,9200002231
1771,1183871,9200002232,9200002232
1772,1183900,9200002233,9200002233
1773,1184039,9200002234,9200002234
1774,1184028,9200002235,9200002235
1775,1183652,9200002236,9200002236
1776,1184035,9200002237,9200002237
1777,1183881,9200002238,9200002238
1778,1183201,9200002239,9200002239
1779,1183420,9200002240,9200002240
1780,1183454,9200002241,9200002241
1781,1183503,9200002242,9200002242
1782,1183639,9200002243,9200002243
1783,1184003,9200002244,9200002244
1784,1183915,9200002245,9200002245
1785,1184040,9200002246,9200002246
1786,1183145,9200002248,9200002248
1787,1184065,9200002249,9200002249
1788,1183862,9200002250,9200002250
1789,1183942,9200002252,9200002252
1790,1183477,9200002253,9200002253
1791,1183767,9200002254,9200002254
1792,1184066,9200002264,9200002264
1793,1184022,9200002265,9200002265
1794,1184064,9200002266,9200002266
1795,1184067,9200002267,9200002267
1796,1183866,9200002268,9200002268
1797,1183718,9200002269,9200002269
1798,1184141,9200002270,9200002270
1799,1183941,9200002271,9200002271
1800,1183936,9200002272,9200002272
1801,1184045,9200002273,9200002273
1802,1184109,9200002274,9200002274
1803,1184155,9200002275,9200002275
1804,1184181,9200002276,9200002276
1805,1184112,9200002277,9200002277
1806,1184210,9200002278,9200002278
1807,1183894,9200002279,9200002279
1808,1184206,9200002280,9200002280
1809,1184316,9200002281,9200002281
1810,1184350,9200002282,9200002282
1811,1183424,9200002283,9200002283
1812,1181493,9200002284,9200002284
1813,1184110,9200002285,9200002285
1814,1184137,9200002286,9200002286
1815,1184161,9200002287,9200002287
1816,1182458,9200002288,9200002288
1817,1183433,9200002289,9200002289
1818,1184160,9200002291,9200002291
