Merchant_ID,TOTAL,PERIOD,Date
1232453,-424.39,180326MARRE,19-Mar-26
1257009,-424.39,180326MARRE,19-Mar-26
70462,-421.49,180326MARRE,19-Mar-26
55520,-421.4,180326MARRE,19-Mar-26
265233,-420,180326MARRE,19-Mar-26
287928,-420,180326MARRE,19-Mar-26
525741,-420,180326MARRE,19-Mar-26
564457,-420,180326MARRE,19-Mar-26
584160,-420,180326MARRE,19-Mar-26
1181484,-419.26,180326MARRE,19-Mar-26
1230885,-416.92,180326MARRE,19-Mar-26
174556,-413,180326MARRE,19-Mar-26
1224753,-411.5,180326MARRE,19-Mar-26
1220786,-409.95,180326MARRE,19-Mar-26
253705,-408.7,180326MARRE,19-Mar-26
1178353,-405.13,180326MARRE,19-Mar-26
518032,-400,180326MARRE,19-Mar-26
1190122,-398.98,180326MARRE,19-Mar-26
268817,-391.17,180326MARRE,19-Mar-26
1231271,-390.65,180326MARRE,19-Mar-26
1220241,-386.75,180326MARRE,19-Mar-26
1239483,-385.81,180326MARRE,19-Mar-26
26214,-384.96,180326MARRE,19-Mar-26
1230182,-382.05,180326MARRE,19-Mar-26
1189365,-380.16,180326MARRE,19-Mar-26
1220724,-380.04,180326MARRE,19-Mar-26
1179866,-376.4,180326MARRE,19-Mar-26
1185971,-373.57,180326MARRE,19-Mar-26
226359,-370,180326MARRE,19-Mar-26
479907,-370,180326MARRE,19-Mar-26
1007918,-369.94,180326MARRE,19-Mar-26
178685,-363.2,180326MARRE,19-Mar-26
1212032,-356.63,180326MARRE,19-Mar-26
242877,-356.6,180326MARRE,19-Mar-26
20195,-355.74,180326MARRE,19-Mar-26
284621,-350.93,180326MARRE,19-Mar-26
1220349,-349.88,180326MARRE,19-Mar-26
1291158,-349.38,180326MARRE,19-Mar-26
1231270,-347.24,180326MARRE,19-Mar-26
1181484,-344.52,180326MARRE,19-Mar-26
1185170,-343.28,180326MARRE,19-Mar-26
1181484,-336.77,180326MARRE,19-Mar-26
799038,-334.52,180326MARRE,19-Mar-26
1181484,-331.91,180326MARRE,19-Mar-26
30853,-330.4,180326MARRE,19-Mar-26
1181484,-329.97,180326MARRE,19-Mar-26
1220185,-328.4,180326MARRE,19-Mar-26
1260102,-318.52,180326MARRE,19-Mar-26
1220437,-309.16,180326MARRE,19-Mar-26
1216743,-306.77,180326MARRE,19-Mar-26
182274,-306.56,180326MARRE,19-Mar-26
1181727,-304.88,180326MARRE,19-Mar-26
1253175,-303.84,180326MARRE,19-Mar-26
275523,-302.32,180326MARRE,19-Mar-26
1180498,-300.39,180326MARRE,19-Mar-26
143876,-300,180326MARRE,19-Mar-26
262475,-300,180326MARRE,19-Mar-26
